x,y
0,0
2,0.034899497
4,0.069756474
6,0.104528463
8,0.139173101
10,0.173648178
12,0.207911691
14,0.241921896
16,0.275637356
18,0.309016994
20,0.342020143
22,0.374606593
24,0.406736643
26,0.438371147
28,0.469471563
30,0.5
32,0.529919264
34,0.559192903
36,0.587785252
38,0.615661475
40,0.64278761
42,0.669130606
44,0.69465837
46,0.7193398
48,0.743144825
50,0.766044443
52,0.788010754
54,0.809016994
56,0.829037573
58,0.848048096
60,0.866025404
62,0.882947593
64,0.898794046
66,0.913545458
68,0.927183855
70,0.939692621
72,0.951056516
74,0.961261696
76,0.970295726
78,0.978147601
80,0.984807753
82,0.990268069
84,0.994521895
86,0.99756405
88,0.999390827
90,1
92,0.999390827
94,0.99756405
96,0.994521895
98,0.990268069
100,0.984807753
102,0.978147601
104,0.970295726
106,0.961261696
108,0.951056516
110,0.939692621
112,0.927183855
114,0.913545458
116,0.898794046
118,0.882947593
120,0.866025404
122,0.848048096
124,0.829037573
126,0.809016994
128,0.788010754
130,0.766044443
132,0.743144825
134,0.7193398
136,0.69465837
138,0.669130606
140,0.64278761
142,0.615661475
144,0.587785252
146,0.559192903
148,0.529919264
150,0.5
152,0.469471563
154,0.438371147
156,0.406736643
158,0.374606593
160,0.342020143
162,0.309016994
164,0.275637356
166,0.241921896
168,0.207911691
170,0.173648178
172,0.139173101
174,0.104528463
176,0.069756474
178,0.034899497
180,1.22465E-16
182,-0.034899497
184,-0.069756474
186,-0.104528463
188,-0.139173101
190,-0.173648178
192,-0.207911691
194,-0.241921896
196,-0.275637356
198,-0.309016994
200,-0.342020143
202,-0.374606593
204,-0.406736643
206,-0.438371147
208,-0.469471563
210,-0.5
212,-0.529919264
214,-0.559192903
216,-0.587785252
218,-0.615661475
220,-0.64278761
222,-0.669130606
224,-0.69465837
226,-0.7193398
228,-0.743144825
230,-0.766044443
232,-0.788010754
234,-0.809016994
236,-0.829037573
238,-0.848048096
240,-0.866025404
242,-0.882947593
244,-0.898794046
246,-0.913545458
248,-0.927183855
250,-0.939692621
252,-0.951056516
254,-0.961261696
256,-0.970295726
258,-0.978147601
260,-0.984807753
262,-0.990268069
264,-0.994521895
266,-0.99756405
268,-0.999390827
270,-1
272,-0.999390827
274,-0.99756405
276,-0.994521895
278,-0.990268069
280,-0.984807753
282,-0.978147601
284,-0.970295726
286,-0.961261696
288,-0.951056516
290,-0.939692621
292,-0.927183855
294,-0.913545458
296,-0.898794046
298,-0.882947593
300,-0.866025404
302,-0.848048096
304,-0.829037573
306,-0.809016994
308,-0.788010754
310,-0.766044443
312,-0.743144825
314,-0.7193398
316,-0.69465837
318,-0.669130606
320,-0.64278761
322,-0.615661475
324,-0.587785252
326,-0.559192903
328,-0.529919264
330,-0.5
332,-0.469471563
334,-0.438371147
336,-0.406736643
338,-0.374606593
340,-0.342020143
342,-0.309016994
344,-0.275637356
346,-0.241921896
348,-0.207911691
350,-0.173648178
352,-0.139173101
354,-0.104528463
356,-0.069756474
358,-0.034899497
360,-2.44929E-16
